시군구ID,시군구,인구증감비
11010,종로구,-3.995039683
11020,중구,-1.364087302
11030,용산구,-3.615079365
11040,성동구,-6.581845238
11050,광진구,-8.541170635
11060,동대문구,-8.764384921
11070,중랑구,-11.73363095
11080,성북구,-9.834821429
11090,강북구,-13.8953373
11100,도봉구,-15.30456349
11110,노원구,-28.08779762
11120,은평구,-9.012400794
11130,서대문구,-4.650297619
11140,마포구,-5.449900794
11150,양천구,-15.09771825
11160,강서구,-10.50099206
11170,구로구,-10.31597222
11180,금천구,-2.269345238
11190,영등포구,3.087301587
11200,동작구,-7.695436508
11210,관악구,-10.49206349
11220,서초구,-17.31795635
11230,강남구,-16.90128968
11240,송파구,0.2514880952
11250,강동구,9.174603175
21010,중구,-2.323412698
21020,서구,-3.873511905
21030,동구,-1.064980159
21040,영도구,-7.799603175
21050,부산진구,-11.59077381
21060,동래구,-2.916170635
21070,남구,-8.288690476
21080,북구,-13.38839286
21090,해운대구,-11.61458333
21100,사하구,-14.18650794
21110,금정구,-8.22172619
21120,강서구,16.86954365
21130,연제구,-0.06150793651
21140,수영구,-2.097718254
21150,사상구,-12.15376984
21310,기장군,9.225198413
22010,중구,-2.440972222
22020,동구,-4.918650794
22030,서구,-17.35069444
22040,남구,-6.576388889
22050,북구,-1.674107143
22060,수성구,-14.83829365
22070,달서구,-23.29613095
22310,달성군,21.91617063
23010,중구,14.07936508
23020,동구,-4.726190476
23090,미추홀구,-93.29513889
23040,연수구,30.26636905
23050,남동구,-6.304563492
23060,부평구,-31.22569444
23070,계양구,-17.15674603
23080,서구,22.14632937
23310,강화군,0.8348214286
23320,옹진군,-0.5004960317
24010,동구,3.809027778
24020,서구,-9.101190476
24030,남구,-2.060515873
24040,북구,-6.920634921
24050,광산구,0.5813492063
25010,동구,-6.317956349
25020,중구,-10.98660714
25030,서구,-8.75297619
25040,유성구,3.995535714
25050,대덕구,-8.750992063
26010,중구,-14.70882937
26020,남구,-13.34077381
26030,동구,-10.12797619
26040,북구,11.63194444
26310,울주군,1.390873016
29010,세종특별자치시,63.91220238
31011,장안구,-11.23214286
31012,권선구,2.848710317
31013,팔달구,-8.032738095
31014,영통구,11.29365079
31021,수정구,1.561011905
31022,중원구,-13.45833333
31023,분당구,-9.745535714
31030,의정부시,12.50198413
31041,만안구,-6.965277778
31042,동안구,-17.95337302
31050,부천시,-22.47668651
31060,광명시,-23.11061508
31070,평택시,46.35714286
31080,동두천시,-2.32390873
31091,상록구,-12.49454365
31092,단원구,-5.924603175
31101,덕양구,18.20138889
31103,일산동구,3.105654762
31104,일산서구,-1.629960317
31110,과천시,4.745535714
31120,구리시,-0.900297619
31130,남양주시,35.53769841
31140,오산시,10.57886905
31150,시흥시,54.13789683
31160,군포시,-8.112599206
31170,의왕시,3.270337302
31180,하남시,54.06051587
31191,처인구,16.89880952
31192,기흥구,12.19196429
31193,수지구,13.75744048
31200,파주시,26.02380952
31210,이천시,6.358134921
31220,안성시,3.29265873
31230,김포시,61.04414683
31240,화성시,122.0858135
31250,광주시,29.54662698
31260,양주시,15.30505952
31270,포천시,-2.888888889
31280,여주시,0.2911706349
31350,연천군,-1.580357143
31370,가평군,-0.09126984127
31380,양평군,4.892361111
32010,춘천시,1.928075397
32020,원주시,9.810515873
32030,강릉시,-0.4370039683
32040,동해시,-1.595238095
32050,태백시,-3.088293651
32060,속초시,0.4950396825
32070,삼척시,-3.060515873
32310,홍천군,-0.8487103175
32320,횡성군,0.2430555556
32330,영월군,-1.075892857
32340,평창군,-1.151785714
32350,정선군,-1.509424603
32360,철원군,-2.317956349
32370,화천군,-1.026289683
32380,양구군,-1.12202381
32390,인제군,-0.275297619
32400,고성군,-1.421130952
32410,양양군,0.3447420635
33042,서원구,-12.01438492
33044,청원구,1.743055556
33041,상당구,9.983134921
33043,흥덕구,6.87797619
33020,충주시,0.5
33030,제천시,-2.443452381
33320,보은군,-1.162202381
33330,옥천군,-1.078373016
33340,영동군,-2.370535714
33390,증평군,-0.4375
33350,진천군,7.552579365
33360,괴산군,-0.4221230159
33370,음성군,-2.77281746
33380,단양군,-1.077380952
34080,당진시,0.2291666667
34011,동남구,-1.799107143
34012,서북구,21.90376984
34020,공주시,-3.366071429
34030,보령시,-2.710813492
34040,아산시,10.73958333
34050,서산시,2.905257937
34060,논산시,-4.330357143
34070,계룡시,0.345734127
34310,금산군,-2.05109127
34330,부여군,-3.181051587
34340,서천군,-2.612599206
34350,청양군,-1.147321429
34360,홍성군,-0.3209325397
34370,예산군,-2.250992063
34380,태안군,-1.177579365
35011,완산구,-12.9171627
35012,덕진구,15.6577381
35020,군산시,-6.074900794
35030,익산시,-11.09424603
35040,정읍시,-4.308531746
35050,남원시,-2.359623016
35060,김제시,-3.407242063
35310,완주군,-2.151785714
35320,진안군,-0.5367063492
35330,무주군,-0.595734127
35340,장수군,-0.9588293651
35350,임실군,-1.719742063
35360,순창군,-1.534722222
35370,고창군,-3.576884921
35380,부안군,-3.080357143
36010,목포시,-9.499007937
36020,여수시,-6.064484127
36030,순천시,1.432539683
36040,나주시,6.125992063
36060,광양시,-2.504464286
36310,담양군,-0.5203373016
36320,곡성군,-1.421130952
36330,구례군,-1.079861111
36350,고흥군,-2.427579365
36360,보성군,-2.526785714
36370,화순군,-1.328869048
36380,장흥군,-2.044642857
36390,강진군,-1.984126984
36400,해남군,-3.94593254
36410,영암군,-2.037698413
36420,무안군,4.463293651
36430,함평군,-1.549107143
36440,영광군,-1.802083333
36450,장성군,-1.358630952
36460,완도군,-2.002480159
36470,진도군,-0.998015873
36480,신안군,-2.199900794
37011,남구,-6.918154762
37012,북구,0.5079365079
37020,경주시,-3.751488095
37030,김천시,-1.000496032
37040,안동시,-5.866071429
37050,구미시,-3.625992063
37060,영주시,-3.623511905
37070,영천시,0.6780753968
37080,상주시,-3.091765873
37090,문경시,-1.759920635
37100,경산시,5.125
37310,군위군,-0.6081349206
37320,의성군,-1.677579365
37330,청송군,-0.8740079365
37340,영양군,-0.6909722222
37350,영덕군,-1.854166667
37360,청도군,-0.8298611111
37370,고령군,-1.80109127
37380,성주군,-1.172123016
37390,칠곡군,-4.651289683
37400,예천군,4.748511905
37410,봉화군,-1.377480159
37420,울진군,-1.924603175
37430,울릉군,-0.5625
38111,의창구,-17.06746032
38112,성산구,9.916170635
38113,마산합포구,-0.2356150794
38114,마산회원구,-11.86011905
38115,진해구,3.787698413
38030,진주시,0.1775793651
38050,통영시,-6.337797619
38060,사천시,-2.459821429
38070,김해시,4.092757937
38080,밀양시,-2.395337302
38090,거제시,-7.920138889
38100,양산시,18.69494048
38310,의령군,-0.8874007937
38320,함안군,-3.169642857
38330,창녕군,-1.911210317
38340,고성군,-2.095734127
38350,남해군,-1.420138889
38360,하동군,-3.062003968
38370,산청군,-0.8621031746
38380,함양군,-0.9578373016
38390,거창군,-1.108630952
38400,합천군,-2.525297619
39010,제주시,11.1264881
39020,서귀포시,6.314980159