행정구역별(시군구),청년_남녀_2020,장년_남녀_2020,노년_남녀_2020
강원도 강릉시,11689,13816,9956
강원도 고성군,812,1677,1883
강원도 동해시,1410,5800,4218
강원도 삼척시,3486,4164,4047
강원도 속초시,1751,6460,3877
강원도 양구군,432,1139,955
강원도 양양군,422,2164,1902
강원도 영월군,534,3052,2893
강원도 원주시,15364,24486,11041
강원도 인제군,647,1959,1443
강원도 정선군,597,3114,2464
강원도 철원군,732,1995,2066
강원도 춘천시,12465,16691,10058
강원도 태백시,763,2997,2606
강원도 평창군,602,3389,2795
강원도 홍천군,1231,4633,3999
강원도 화천군,707,1437,1230
강원도 횡성군,535,2992,2811
경기도 가평군,1115,4530,3333
경기도 과천시,818,1699,1220
경기도 광명시,5208,13757,7461
경기도 광주시,6879,21029,6577
경기도 구리시,3463,10186,4462
경기도 군포시,6186,13218,6543
경기도 권선구,12210,22027,7123
경기도 기흥구,11576,15804,7607
경기도 김포시,10469,22379,8287
경기도 남양주시,9183,29463,14642
경기도 단원구,10481,20784,6128
경기도 덕양구,10142,25200,12289
경기도 동두천시,1706,5930,4320
경기도 동안구,6104,11656,5709
경기도 만안구,5729,12617,6443
경기도 부천시,18837,45776,20033
경기도 분당구,15542,19795,8605
경기도 상록구,11615,24429,7920
경기도 수정구,11561,20093,8201
경기도 수지구,9589,9419,5279
경기도 시흥시,14617,32684,8395
경기도 안성시,7181,12202,6124
경기도 양주시,4219,11834,6252
경기도 양평군,1494,7746,5684
경기도 여주시,2090,6774,4326
경기도 연천군,1132,2478,2578
경기도 영통구,22689,16548,4485
경기도 오산시,10324,15254,3912
경기도 의왕시,3702,5903,3146
경기도 의정부시,11301,25585,12918
경기도 이천시,6957,11856,5224
경기도 일산동구,8607,17112,5451
경기도 일산서구,4298,11030,5744
경기도 장안구,9550,13741,6736
경기도 중원구,8085,16075,6763
경기도 처인구,9508,14135,5724
경기도 파주시,10564,23002,10108
경기도 팔달구,10676,14038,5666
경기도 평택시,20107,36717,12486
경기도 포천시,3080,10294,5577
경기도 하남시,11192,16764,5728
경기도 화성시,34506,44424,11612
경상남도 거제시,5263,17398,5241
경상남도 거창군,968,3186,4599
경상남도 고성군,473,3252,4134
경상남도 김해시,12484,30911,12296
경상남도 남해군,483,2291,4502
경상남도 마산합포구,3433,10721,8377
경상남도 마산회원구,3051,11518,7293
경상남도 밀양시,1609,7199,7787
경상남도 사천시,2462,7341,5766
경상남도 산청군,286,2447,3297
경상남도 성산구,6579,11882,3242
경상남도 양산시,8419,21216,10111
경상남도 의령군,357,1797,2962
경상남도 의창구,7100,17049,6332
경상남도 진주시,15533,19326,13355
경상남도 진해구,4357,12059,5749
경상남도 창녕군,719,4047,4996
경상남도 통영시,2340,9112,5886
경상남도 하동군,406,2814,3843
경상남도 함안군,671,4020,4139
경상남도 함양군,451,2458,3759
경상남도 합천군,385,2633,5057
경상북도 경산시,15674,15953,8767
경상북도 경주시,8891,16678,13030
경상북도 고령군,277,2073,2322
경상북도 구미시,19351,26530,8068
경상북도 군위군,183,1600,2321
경상북도 김천시,4102,8005,7482
경상북도 남구,5987,15696,8593
경상북도 문경시,1014,4177,5475
경상북도 봉화군,239,1925,2914
경상북도 북구,6265,15929,10150
경상북도 상주시,2609,5515,7636
경상북도 성주군,529,2773,3010
경상북도 안동시,6587,9998,9222
경상북도 영덕군,403,2497,3907
경상북도 영양군,167,1041,1677
경상북도 영주시,3053,5809,6306
경상북도 영천시,2287,7229,6834
경상북도 예천군,975,2931,4306
경상북도 울릉군,239,986,507
경상북도 울진군,1062,3351,3942
경상북도 의성군,539,3136,5662
경상북도 청도군,342,2614,3978
경상북도 청송군,346,1829,2353
경상북도 칠곡군,3274,8203,3612
광주광역시 광산구,15149,23442,7963
광주광역시 남구,6440,11638,7353
광주광역시 동구,7507,6753,4169
광주광역시 북구,17259,27947,14029
광주광역시 서구,12618,20210,8710
대구광역시 남구,8503,13096,8061
대구광역시 달서구,17496,32239,17121
대구광역시 달성군,6062,13388,5980
대구광역시 동구,9362,21079,14661
대구광역시 북구,17691,23878,12761
대구광역시 서구,3487,13410,8822
대구광역시 수성구,8687,18695,12586
대구광역시 중구,6090,5164,3467
대전광역시 대덕구,6100,11512,5989
대전광역시 동구,15290,14686,9259
대전광역시 서구,30037,28123,11361
대전광역시 유성구,30273,20695,5718
대전광역시 중구,8046,14616,9287
부산광역시 강서구,3547,7217,2607
부산광역시 금정구,13149,12877,9819
부산광역시 기장군,3668,9367,5325
부산광역시 남구,11300,12991,9880
부산광역시 동구,2909,6865,5694
부산광역시 동래구,6006,13636,9283
부산광역시 부산진구,20266,22972,14945
부산광역시 북구,4925,15093,11219
부산광역시 사상구,7082,14701,8718
부산광역시 사하구,8771,18163,12524
부산광역시 서구,4746,7083,6353
부산광역시 수영구,8940,11538,7135
부산광역시 연제구,6638,11523,7714
부산광역시 영도구,3514,7498,7479
부산광역시 중구,2633,4361,2971
부산광역시 해운대구,8844,21554,14291
울산광역시 남구,11907,20467,7596
울산광역시 동구,3483,9877,3466
울산광역시 북구,4286,9580,3039
울산광역시 울주군,4712,13099,6422
울산광역시 중구,4217,13222,6864
인천광역시 강화군,627,3467,3988
인천광역시 계양구,5113,16990,7236
인천광역시 남동구,13892,31352,14018
인천광역시 동구,782,3442,3041
인천광역시 미추홀구,16564,26156,12948
인천광역시 부평구,10941,28223,14313
인천광역시 서구,11719,27619,9336
인천광역시 연수구,11339,16392,6154
인천광역시 옹진군,523,1947,1164
인천광역시 중구,8820,10125,4100
전라남도 강진군,507,1951,3384
전라남도 고흥군,521,3714,7557
전라남도 곡성군,712,1667,2798
전라남도 광양시,3345,8745,4080
전라남도 구례군,244,1674,2270
전라남도 나주시,4002,7411,6418
전라남도 담양군,613,2002,2994
전라남도 목포시,6429,15718,9091
전라남도 무안군,4123,4341,3853
전라남도 보성군,374,2340,4286
전라남도 순천시,7546,14584,9512
전라남도 신안군,411,2654,3516
전라남도 여수시,6648,15847,11139
전라남도 영광군,789,2972,3845
전라남도 영암군,1525,3878,3586
전라남도 완도군,586,3038,3848
전라남도 장성군,597,1891,2900
전라남도 장흥군,471,2162,3661
전라남도 진도군,375,1878,2945
전라남도 함평군,300,1830,3050
전라남도 해남군,709,3655,5940
전라남도 화순군,778,3315,4441
전라북도 고창군,568,2882,4857
전라북도 군산시,8396,17412,10940
전라북도 김제시,877,4386,6382
전라북도 남원시,1130,4687,5567
전라북도 덕진구,14726,17942,8675
전라북도 무주군,291,1429,2024
전라북도 부안군,549,2885,4368
전라북도 순창군,199,1359,2374
전라북도 완산구,13641,21064,11544
전라북도 완주군,3755,5213,3986
전라북도 익산시,11629,16460,12171
전라북도 임실군,630,1556,2455
전라북도 장수군,213,1180,1832
전라북도 정읍시,1608,6411,7489
전라북도 진안군,209,1431,2089
충청남도 계룡시,582,1689,934
충청남도 공주시,4464,6243,5647
충청남도 금산군,1457,3187,3680
충청남도 논산시,3214,7067,6961
충청남도 당진시,5172,12178,6055
충청남도 동남구,14389,17435,7334
충청남도 보령시,1880,6094,5710
충청남도 부여군,909,3363,5233
충청남도 서북구,24331,25176,6619
충청남도 서산시,5769,10570,6342
충청남도 서천군,504,2713,4619
충청남도 아산시,13025,20521,8521
충청남도 예산군,1423,4419,5131
충청남도 청양군,447,1744,2496
충청남도 태안군,1614,4244,4073
충청남도 홍성군,3543,5730,5116
충청북도 괴산군,1475,2829,2881
충청북도 단양군,349,2069,2224
충청북도 보은군,336,1951,2784
충청북도 상당구,3297,9547,6000
충청북도 서원구,11231,12122,6371
충청북도 영동군,1192,2768,3502
충청북도 옥천군,485,2444,3194
충청북도 음성군,3274,7721,4253
충청북도 제천시,5399,8831,6781
충청북도 증평군,1409,2637,1509
충청북도 진천군,2898,5907,2897
충청북도 청원구,10629,11959,4950
충청북도 충주시,9892,13532,9182
충청북도 흥덕구,15485,17930,5488