,sigungu,성별,연령별,2016 년,2017 년,2018 년,2019 년,2020 년
420,동구,여자,0 - 4세,1406.0,1271.0,1096.0,934.5,795.0
421,동구,여자,5 - 9세,1504.5,1457.5,1364.0,1245.5,1123.0
422,동구,여자,10 - 14세,1368.0,1344.5,1303.5,1231.5,1195.0
423,동구,여자,15 - 19세,1753.0,1602.5,1454.0,1382.5,1304.5
424,동구,여자,20 - 24세,1866.5,1800.0,1726.5,1648.0,1569.0
425,동구,여자,25 - 29세,1743.0,1696.5,1640.5,1561.5,1491.0
426,동구,여자,30 - 34세,2275.0,2032.5,1766.5,1532.5,1377.5
427,동구,여자,35 - 39세,2659.5,2650.0,2528.0,2272.5,1986.5
428,동구,여자,40 - 44세,2671.5,2545.0,2362.0,2202.5,2126.5
429,동구,여자,45 - 49세,2503.0,2516.0,2505.0,2472.5,2427.0
430,동구,여자,50 - 54세,2542.0,2392.0,2318.5,2294.0,2257.5
431,동구,여자,55 - 59세,3058.0,2968.5,2826.5,2652.0,2492.0
432,동구,여자,60 - 64세,2509.5,2621.0,2671.5,2746.0,2816.0
433,동구,여자,65 - 69세,2119.0,2129.0,2124.5,2092.0,2183.5
434,동구,여자,70 - 74세,1839.5,1838.0,1855.5,1906.0,1979.0
435,동구,여자,75 - 79세,1458.5,1561.5,1614.0,1608.0,1636.0
436,동구,여자,80 - 84세,1009.0,1049.5,1071.5,1105.5,1137.0
437,동구,여자,85 - 89세,490.0,533.5,575.0,610.0,651.0
438,동구,여자,90 - 94세,171.5,176.0,195.0,216.0,244.5
439,동구,여자,95 - 99세,35.5,37.5,38.5,48.0,53.5
440,동구,여자,100세 이상,7.0,8.5,9.5,8.0,6.0
567,동구,여자,0 - 4세,1663.5,1522.5,1447.5,1466.0,1556.0
568,동구,여자,5 - 9세,1464.0,1476.5,1489.0,1581.5,1763.5
569,동구,여자,10 - 14세,1536.5,1460.5,1447.0,1453.5,1527.0
570,동구,여자,15 - 19세,2551.0,2372.0,2205.5,2116.5,2010.0
571,동구,여자,20 - 24세,3337.5,3259.5,3238.0,3310.0,3453.0
572,동구,여자,25 - 29세,2912.5,2916.0,2956.0,3134.0,3496.0
573,동구,여자,30 - 34세,3006.0,2752.5,2620.0,2675.0,2924.0
574,동구,여자,35 - 39세,2934.5,2888.5,2933.0,3030.5,3200.0
575,동구,여자,40 - 44세,2908.5,2832.0,2743.0,2747.0,2955.0
576,동구,여자,45 - 49세,3281.0,3300.5,3347.5,3411.5,3445.0
577,동구,여자,50 - 54세,3642.5,3479.0,3409.0,3483.5,3679.0
578,동구,여자,55 - 59세,4251.0,4212.5,4076.0,4018.0,4020.0
579,동구,여자,60 - 64세,3590.0,3641.5,3764.5,3930.0,4097.0
580,동구,여자,65 - 69세,3305.5,3248.0,3201.5,3169.5,3304.0
581,동구,여자,70 - 74세,2751.0,2726.0,2790.0,2928.0,3070.5
582,동구,여자,75 - 79세,2140.0,2324.5,2461.5,2489.5,2518.0
583,동구,여자,80 - 84세,1389.0,1440.5,1507.0,1599.5,1713.5
584,동구,여자,85 - 89세,745.0,766.5,777.0,815.5,878.0
585,동구,여자,90 - 94세,267.0,277.5,297.5,315.0,342.5
586,동구,여자,95 - 99세,63.5,73.0,81.5,89.0,92.0
587,동구,여자,100세 이상,13.5,14.0,13.5,10.0,9.0
672,동구,여자,0 - 4세,4828.0,4327.5,3909.5,3545.0,3179.0
673,동구,여자,5 - 9세,5190.0,5017.0,4774.5,4588.5,4399.0
674,동구,여자,10 - 14세,4974.0,4821.0,4796.0,4683.5,4538.0
675,동구,여자,15 - 19세,6531.5,6197.5,5831.5,5580.0,5285.5
676,동구,여자,20 - 24세,7909.0,7888.0,7887.0,7836.5,7753.0
677,동구,여자,25 - 29세,6243.0,6191.0,6260.0,6397.5,6478.5
678,동구,여자,30 - 34세,7411.0,6550.0,5884.0,5497.5,5187.0
679,동구,여자,35 - 39세,8474.5,8213.0,8017.0,7638.5,7022.5
680,동구,여자,40 - 44세,8734.5,8402.0,8048.0,7707.5,7559.0
681,동구,여자,45 - 49세,9050.5,9034.0,8917.0,8793.0,8581.5
682,동구,여자,50 - 54세,9016.5,8519.0,8551.0,8798.5,8832.5
683,동구,여자,55 - 59세,10027.0,10093.0,9964.5,9660.5,9177.5
684,동구,여자,60 - 64세,7730.5,8166.5,8542.5,8952.0,9317.5
685,동구,여자,65 - 69세,6097.0,6203.5,6342.5,6553.5,6920.0
686,동구,여자,70 - 74세,5160.0,4997.5,5011.0,5211.5,5514.5
687,동구,여자,75 - 79세,4190.0,4494.0,4747.0,4802.5,4791.0
688,동구,여자,80 - 84세,2694.0,2868.0,3026.0,3258.5,3443.5
689,동구,여자,85 - 89세,1317.5,1391.5,1488.5,1599.5,1723.5
690,동구,여자,90 - 94세,443.0,474.0,526.0,589.5,649.0
691,동구,여자,95 - 99세,90.0,96.0,112.0,132.5,138.5
692,동구,여자,100세 이상,21.5,19.5,19.0,19.5,21.0
0,중구,여자,0 - 4세,502.5,458.0,390.0,322.0,265.5
1,중구,여자,5 - 9세,533.0,500.5,466.0,438.5,404.5
2,중구,여자,10 - 14세,589.5,567.5,523.0,471.5,439.5
3,중구,여자,15 - 19세,954.0,863.0,772.5,696.0,613.0
4,중구,여자,20 - 24세,1358.0,1334.5,1272.5,1234.0,1275.5
5,중구,여자,25 - 29세,1360.0,1389.0,1423.5,1437.5,1497.0
6,중구,여자,30 - 34세,1289.5,1181.5,1072.5,1020.0,1002.5
7,중구,여자,35 - 39세,1275.0,1258.5,1210.0,1114.5,1037.5
8,중구,여자,40 - 44세,1473.0,1358.0,1226.0,1100.0,1049.0
9,중구,여자,45 - 49세,1736.0,1732.5,1628.5,1499.5,1393.5
10,중구,여자,50 - 54세,1854.5,1723.0,1645.5,1643.0,1626.5
11,중구,여자,55 - 59세,2275.0,2221.5,2118.5,1986.5,1856.5
12,중구,여자,60 - 64세,1990.5,2056.0,2121.0,2174.5,2172.5
13,중구,여자,65 - 69세,1691.5,1709.5,1723.5,1704.0,1770.5
14,중구,여자,70 - 74세,1390.0,1365.5,1372.5,1437.5,1506.0
15,중구,여자,75 - 79세,1088.0,1173.0,1220.5,1223.5,1232.0
16,중구,여자,80 - 84세,622.0,666.5,720.0,782.0,831.5
17,중구,여자,85 - 89세,345.0,362.0,381.0,388.5,402.5
18,중구,여자,90 - 94세,123.5,141.5,156.5,172.0,190.0
19,중구,여자,95 - 99세,17.5,24.5,34.0,37.5,39.0
20,중구,여자,100세 이상,1.5,3.5,4.0,4.0,5.5
693,중구,여자,0 - 4세,4851.0,4418.0,4009.0,3624.5,3189.0
694,중구,여자,5 - 9세,5427.0,5266.5,5024.0,4804.5,4581.0
695,중구,여자,10 - 14세,5712.0,5506.0,5332.5,5137.5,5035.5
696,중구,여자,15 - 19세,7697.0,7242.0,6837.5,6410.5,5891.5
697,중구,여자,20 - 24세,8324.0,8284.5,8089.5,7838.5,7589.5
698,중구,여자,25 - 29세,6949.0,6991.5,7142.5,7350.0,7516.0
699,중구,여자,30 - 34세,7740.5,7027.5,6439.0,6015.5,5756.0
700,중구,여자,35 - 39세,9282.5,9061.0,8684.5,8070.5,7276.5
701,중구,여자,40 - 44세,10101.5,9649.0,9075.5,8624.0,8436.5
702,중구,여자,45 - 49세,10692.0,10764.5,10623.0,10277.0,9865.0
703,중구,여자,50 - 54세,9812.0,9470.5,9583.0,9897.5,9985.5
704,중구,여자,55 - 59세,10429.0,10519.5,10386.0,10101.5,9733.0
705,중구,여자,60 - 64세,8509.0,8930.0,9225.0,9472.5,9630.5
706,중구,여자,65 - 69세,6579.5,6711.5,6850.0,7037.5,7472.0
707,중구,여자,70 - 74세,5440.0,5415.0,5484.5,5759.0,6066.5
708,중구,여자,75 - 79세,4299.0,4607.5,4884.5,4957.5,4994.5
709,중구,여자,80 - 84세,2876.5,3054.0,3243.5,3456.0,3631.5
710,중구,여자,85 - 89세,1482.0,1612.5,1709.0,1818.0,1944.0
711,중구,여자,90 - 94세,518.0,565.5,624.5,676.5,725.0
712,중구,여자,95 - 99세,107.0,113.0,124.0,149.0,173.5
713,중구,여자,100세 이상,18.5,22.5,20.0,19.0,22.0
147,금정구,여자,0 - 4세,3587.0,3426.0,3305.0,3070.5,2704.5
148,금정구,여자,5 - 9세,3897.5,3947.0,3963.0,3948.5,3902.0
149,금정구,여자,10 - 14세,4446.0,4227.5,4134.0,3977.0,3882.5
150,금정구,여자,15 - 19세,6681.5,6327.5,5911.0,5466.5,4970.5
151,금정구,여자,20 - 24세,9063.5,8962.5,8783.0,8504.0,8285.0
152,금정구,여자,25 - 29세,7214.5,7241.5,7298.5,7331.5,7213.5
153,금정구,여자,30 - 34세,6928.5,6451.5,6109.5,5856.5,5637.0
154,금정구,여자,35 - 39세,7745.5,7864.5,7860.5,7546.0,6872.0
155,금정구,여자,40 - 44세,8603.0,8082.5,7687.5,7391.5,7318.5
156,금정구,여자,45 - 49세,10566.5,10431.5,10093.5,9614.5,8994.5
157,금정구,여자,50 - 54세,11323.5,10784.0,10573.0,10468.5,10250.5
158,금정구,여자,55 - 59세,12195.5,12447.0,12363.5,11996.5,11386.0
159,금정구,여자,60 - 64세,9833.5,10268.5,10680.5,11159.5,11351.5
160,금정구,여자,65 - 69세,7079.0,7490.0,7882.5,8180.5,8731.0
161,금정구,여자,70 - 74세,5306.5,5442.5,5767.5,6183.5,6517.0
162,금정구,여자,75 - 79세,4239.0,4584.0,4907.0,5064.0,5054.5
163,금정구,여자,80 - 84세,2764.5,2940.0,3115.0,3306.5,3462.0
164,금정구,여자,85 - 89세,1359.5,1464.0,1582.0,1739.0,1921.0
165,금정구,여자,90 - 94세,484.0,513.0,547.0,604.0,667.0
166,금정구,여자,95 - 99세,90.0,115.0,131.0,136.0,146.5
167,금정구,여자,100세 이상,18.0,18.0,17.0,19.5,22.0
2793,통영시,여자,0 - 4세,3233.5,2926.5,2588.5,2257.5,1897.5
2794,통영시,여자,5 - 9세,3544.0,3570.5,3446.5,3325.0,3194.0
2795,통영시,여자,10 - 14세,3058.0,3011.0,3087.5,3138.0,3203.5
2796,통영시,여자,15 - 19세,3837.0,3672.0,3467.0,3269.0,3040.0
2797,통영시,여자,20 - 24세,3274.5,3189.5,3085.5,2985.0,2791.0
2798,통영시,여자,25 - 29세,2919.5,2798.5,2683.0,2584.5,2415.0
2799,통영시,여자,30 - 34세,4324.0,3776.0,3291.0,2915.5,2638.5
2800,통영시,여자,35 - 39세,5117.5,5149.0,5028.5,4810.5,4394.0
2801,통영시,여자,40 - 44세,5152.5,4995.0,4836.5,4686.0,4672.0
2802,통영시,여자,45 - 49세,5426.0,5445.0,5372.0,5254.0,5105.5
2803,통영시,여자,50 - 54세,5418.5,5121.5,5089.5,5263.0,5338.5
2804,통영시,여자,55 - 59세,6167.5,6380.0,6376.0,6110.0,5732.5
2805,통영시,여자,60 - 64세,4708.5,4968.0,5201.5,5523.0,5842.5
2806,통영시,여자,65 - 69세,3468.0,3690.5,3826.0,3939.5,4231.5
2807,통영시,여자,70 - 74세,2976.0,2859.0,2902.5,3025.5,3155.0
2808,통영시,여자,75 - 79세,2564.0,2729.0,2859.5,2903.0,2852.5
2809,통영시,여자,80 - 84세,1742.5,1800.0,1870.0,1965.5,2061.0
2810,통영시,여자,85 - 89세,869.0,948.5,1005.0,1058.5,1120.0
2811,통영시,여자,90 - 94세,293.0,313.0,345.0,374.5,397.5
2812,통영시,여자,95 - 99세,44.5,56.5,65.5,68.5,76.5
2813,통영시,여자,100세 이상,8.0,6.0,4.5,4.5,6.0
1890,강릉시,여자,0 - 4세,3505.0,3310.0,3104.0,2969.5,2801.5
1891,강릉시,여자,5 - 9세,4081.0,4090.5,4030.0,3912.0,3836.5
1892,강릉시,여자,10 - 14세,4716.5,4486.5,4347.5,4234.0,4193.5
1893,강릉시,여자,15 - 19세,6556.5,6230.5,5868.5,5551.0,5113.5
1894,강릉시,여자,20 - 24세,6586.5,6499.0,6471.0,6476.5,6332.0
1895,강릉시,여자,25 - 29세,4487.0,4632.5,4740.0,4869.0,5076.0
1896,강릉시,여자,30 - 34세,5323.5,4929.0,4601.5,4397.5,4301.0
1897,강릉시,여자,35 - 39세,6787.5,6741.0,6666.0,6427.5,6097.5
1898,강릉시,여자,40 - 44세,8240.5,7964.5,7610.0,7253.5,7164.0
1899,강릉시,여자,45 - 49세,8791.5,8843.0,8801.5,8762.5,8643.5
1900,강릉시,여자,50 - 54세,8703.0,8418.5,8448.0,8613.0,8781.5
1901,강릉시,여자,55 - 59세,9885.0,10086.0,10017.0,9745.0,9355.0
1902,강릉시,여자,60 - 64세,7708.0,8239.5,8660.5,9186.0,9696.0
1903,강릉시,여자,65 - 69세,5603.5,5802.0,6128.5,6483.0,7089.0
1904,강릉시,여자,70 - 74세,5484.0,5393.0,5426.0,5493.5,5508.0
1905,강릉시,여자,75 - 79세,4724.5,4957.5,5116.0,5150.0,5216.5
1906,강릉시,여자,80 - 84세,3028.5,3265.5,3520.0,3764.0,3976.0
1907,강릉시,여자,85 - 89세,1773.5,1846.5,1938.0,2040.5,2162.5
1908,강릉시,여자,90 - 94세,728.5,775.5,814.5,890.0,987.0
1909,강릉시,여자,95 - 99세,161.5,180.0,209.0,228.5,248.0
1910,강릉시,여자,100세 이상,29.5,31.5,37.0,39.0,39.5
1911,동해시,여자,0 - 4세,1822.0,1733.5,1614.0,1468.0,1351.5
1912,동해시,여자,5 - 9세,2049.0,2023.0,2017.5,1984.0,1920.5
1913,동해시,여자,10 - 14세,2226.5,2144.0,2077.5,2028.0,2021.0
1914,동해시,여자,15 - 19세,2820.5,2697.0,2550.5,2401.0,2264.5
1915,동해시,여자,20 - 24세,2410.5,2398.5,2320.5,2205.5,2132.5
1916,동해시,여자,25 - 29세,1785.5,1783.0,1758.5,1736.5,1741.0
1917,동해시,여자,30 - 34세,2402.5,2169.0,1959.5,1795.0,1697.5
1918,동해시,여자,35 - 39세,3240.0,3191.0,3042.5,2854.5,2686.0
1919,동해시,여자,40 - 44세,3634.5,3525.5,3409.5,3277.0,3235.5
1920,동해시,여자,45 - 49세,3898.0,3922.0,3888.0,3841.0,3748.0
1921,동해시,여자,50 - 54세,3655.0,3551.0,3533.5,3633.5,3781.0
1922,동해시,여자,55 - 59세,4174.5,4225.5,4132.5,3947.0,3729.5
1923,동해시,여자,60 - 64세,3197.5,3399.0,3598.5,3811.5,3986.0
1924,동해시,여자,65 - 69세,2297.0,2361.0,2456.5,2613.0,2886.5
1925,동해시,여자,70 - 74세,2257.5,2199.0,2197.0,2198.0,2195.5
1926,동해시,여자,75 - 79세,1849.0,1964.5,2083.5,2148.5,2166.5
1927,동해시,여자,80 - 84세,1223.5,1275.5,1332.0,1401.0,1479.5
1928,동해시,여자,85 - 89세,636.0,694.0,735.5,784.0,842.0
1929,동해시,여자,90 - 94세,237.5,242.0,252.5,265.5,290.0
1930,동해시,여자,95 - 99세,38.5,46.5,56.5,72.0,82.5
1931,동해시,여자,100세 이상,6.5,8.5,7.5,5.0,5.0
2646,경주시,여자,0 - 4세,4439.5,4235.0,3975.5,3764.0,3485.5
