sigungu,뚜레쥬르,파바,sum,pop,sido,hp_bin,sig_cd
강원도 고성군,0,2,2,26791.5,강원도,0~4개,42820
강원도 삼척시,1,3,4,65623.0,강원도,0~4개,42230
강원도 양구군,1,1,2,22379.0,강원도,0~4개,42800
강원도 양양군,1,1,2,27627.5,강원도,0~4개,42830
강원도 영월군,2,2,4,38345.0,강원도,0~4개,42750
강원도 정선군,0,3,3,36313.0,강원도,0~4개,42770
강원도 철원군,0,3,3,44767.5,강원도,0~4개,42780
강원도 태백시,1,3,4,42288.0,강원도,0~4개,42190
강원도 평창군,1,0,1,41489.0,강원도,0~4개,42760
강원도 홍천군,2,4,6,68652.0,강원도,4.5~8개,42720
강원도 화천군,1,0,1,24703.5,강원도,0~4개,42790
강원도 횡성군,1,3,4,46150.0,강원도,0~4개,42730
경기도 가평군,1,6,7,61675.0,경기도,4.5~8개,41820
경기도 연천군,1,1,2,43104.5,경기도,0~4개,41800
경상남도 거창군,3,3,6,61478.0,경상남도,4.5~8개,48880
경상남도 고성군,1,1,2,51428.0,경상남도,0~4개,48820
경상남도 남해군,1,1,2,43004.5,경상남도,0~4개,48840
경상남도 밀양시,2,4,6,104300.5,경상남도,4.5~8개,48270
경상남도 산청군,0,2,2,34845.0,경상남도,0~4개,48860
경상남도 의령군,1,1,2,26832.0,경상남도,0~4개,48720
경상남도 창녕군,1,2,3,61341.5,경상남도,0~4개,48740
경상남도 하동군,1,1,2,45389.5,경상남도,0~4개,48850
경상남도 함안군,1,3,4,64502.0,경상남도,0~4개,48730
경상남도 함양군,1,1,2,39045.0,경상남도,0~4개,48870
경상남도 합천군,1,1,2,44159.5,경상남도,0~4개,48890
경상북도 고령군,0,2,2,31646.5,경상북도,0~4개,47830
경상북도 군위군,1,0,1,23384.5,경상북도,0~4개,47720
경상북도 문경시,2,2,4,71266.5,경상북도,0~4개,47280
경상북도 봉화군,1,1,2,31492.0,경상북도,0~4개,47920
경상북도 상주시,2,3,5,98240.5,경상북도,4.5~8개,47250
경상북도 성주군,1,1,2,43399.5,경상북도,0~4개,47840
경상북도 안동시,8,10,18,158634.0,경상북도,13.5~18개,47170
경상북도 영덕군,1,2,3,36484.0,경상북도,0~4개,47770
경상북도 영양군,0,1,1,16667.0,경상북도,0~4개,47760
경상북도 영주시,2,6,8,103452.0,경상북도,4.5~8개,47210
경상북도 영천시,2,6,8,101506.0,경상북도,4.5~8개,47230
경상북도 울릉군,0,0,0,9184.5,경상북도,0~4개,47940
경상북도 울진군,3,3,6,48710.0,경상북도,4.5~8개,47930
경상북도 의성군,2,1,3,51647.0,경상북도,0~4개,47730
경상북도 청도군,3,1,4,42278.5,경상북도,0~4개,47820
경상북도 청송군,0,0,0,25051.5,경상북도,0~4개,47750
대구광역시 남구,5,9,14,145124.0,대구광역시,13.5~18개,27200
대구광역시 서구,3,10,13,170922.5,대구광역시,9~13개,27170
부산광역시 동구,2,9,11,86801.0,부산광역시,9~13개,26170
부산광역시 서구,3,6,9,105948.0,부산광역시,4.5~8개,26140
부산광역시 영도구,2,5,7,113042.5,부산광역시,4.5~8개,26200
인천광역시 강화군,2,2,4,68662.0,인천광역시,0~4개,28710
인천광역시 옹진군,0,1,1,20366.5,인천광역시,0~4개,28720
전라남도 강진군,1,1,2,34647.5,전라남도,0~4개,46810
전라남도 고흥군,1,2,3,64022.0,전라남도,0~4개,46770
전라남도 곡성군,0,1,1,28267.0,전라남도,0~4개,46720
전라남도 구례군,1,1,2,25985.0,전라남도,0~4개,46730
전라남도 담양군,0,1,1,46033.5,전라남도,0~4개,46710
전라남도 보성군,2,2,4,40543.5,전라남도,0~4개,46780
전라남도 신안군,0,1,1,39200.5,전라남도,0~4개,46910
전라남도 영광군,0,2,2,52970.0,전라남도,0~4개,46870
전라남도 영암군,0,3,3,53651.0,전라남도,0~4개,46830
전라남도 완도군,1,2,3,50007.0,전라남도,0~4개,46890
전라남도 장성군,1,3,4,44714.5,전라남도,0~4개,46880
전라남도 장흥군,1,1,2,37858.5,전라남도,0~4개,46800
전라남도 진도군,1,1,2,30721.5,전라남도,0~4개,46900
전라남도 함평군,1,1,2,32098.0,전라남도,0~4개,46860
전라남도 해남군,1,2,3,68999.5,전라남도,0~4개,46820
전라남도 화순군,1,2,3,62181.5,전라남도,0~4개,46790
전라북도 고창군,1,3,4,54578.5,전라북도,0~4개,45790
전라북도 김제시,1,4,5,82405.0,전라북도,4.5~8개,45210
전라북도 남원시,1,4,5,80653.5,전라북도,4.5~8개,45190
전라북도 무주군,0,1,1,24068.5,전라북도,0~4개,45730
전라북도 부안군,1,1,2,52251.0,전라북도,0~4개,45800
전라북도 순창군,0,1,1,27930.0,전라북도,0~4개,45770
전라북도 임실군,0,1,1,27928.0,전라북도,0~4개,45750
전라북도 장수군,0,1,1,22158.5,전라북도,0~4개,45740
전라북도 정읍시,2,6,8,108474.0,전라북도,4.5~8개,45180
전라북도 진안군,1,1,2,25360.5,전라북도,0~4개,45720
충청남도 공주시,3,5,8,104677.0,충청남도,4.5~8개,44150
충청남도 금산군,1,3,4,51373.0,충청남도,0~4개,44710
충청남도 논산시,3,8,11,116625.5,충청남도,9~13개,44230
충청남도 보령시,3,8,11,99852.5,충청남도,9~13개,44180
충청남도 부여군,1,2,3,65431.0,충청남도,0~4개,44760
충청남도 서천군,1,3,4,51820.5,충청남도,0~4개,44770
충청남도 예산군,2,4,6,78071.5,충청남도,4.5~8개,44810
충청남도 청양군,1,1,2,31134.0,충청남도,0~4개,44790
충청남도 태안군,3,3,6,62050.5,충청남도,4.5~8개,44825
충청북도 괴산군,1,1,2,38968.0,충청북도,0~4개,43760
충청북도 단양군,1,2,3,29143.0,충청북도,0~4개,43800
충청북도 보은군,1,1,2,32402.5,충청북도,0~4개,43720
충청북도 영동군,1,2,3,47736.5,충청북도,0~4개,43740
충청북도 옥천군,2,2,4,50381.0,충청북도,0~4개,43730
충청북도 제천시,7,10,17,132882.5,충청북도,13.5~18개,43150
